age,gender,screen_time,social_media,gaming,sleep,activity,support,platform,source,target
53,Male,1.07,4.36,2.1,5.2,1.89,Yes,Unknown,df1,0
60,Male,1.36,5.84,3.97,8.96,3.83,No,Unknown,df1,1
55,Female,8.34,6.62,1.55,7.89,2.24,Yes,Unknown,df1,0
62,Female,13.61,4.01,0.43,4.39,7.53,No,Unknown,df1,0
40,Other,9.66,3.36,2.86,4.07,9.86,No,Unknown,df1,0
33,Female,6.26,2.89,3.19,5.92,3.66,No,Unknown,df1,0
57,Male,2.37,0.63,4.04,5.48,9.37,Yes,Unknown,df1,1
27,Female,8.65,2.5,0.62,8.01,5.28,Yes,Unknown,df1,1
47,Female,1.2,4.81,4.68,6.43,7.89,No,Unknown,df1,1
32,Other,14.62,6.0,1.09,4.31,8.62,Yes,Unknown,df1,0
59,Other,6.37,4.89,4.94,7.47,3.44,No,Unknown,df1,1
21,Male,13.77,0.37,2.25,7.61,5.63,Yes,Unknown,df1,0
50,Other,4.71,1.31,4.63,6.48,4.38,Yes,Unknown,df1,0
50,Male,1.81,5.62,1.63,7.54,9.1,No,Unknown,df1,1
59,Female,8.02,6.64,1.25,4.78,0.23,No,Unknown,df1,1
48,Other,1.13,2.21,2.3,7.5,1.21,Yes,Unknown,df1,0
18,Female,4.47,6.24,3.01,4.52,8.2,No,Unknown,df1,0
36,Other,9.26,0.11,1.22,6.63,0.46,No,Unknown,df1,1
44,Other,10.89,1.17,0.55,4.03,6.27,Yes,Unknown,df1,1
60,Female,6.69,7.5,1.44,8.13,0.85,No,Unknown,df1,1
19,Other,8.07,2.4,3.19,4.77,2.22,Yes,Unknown,df1,1
64,Female,1.02,3.56,1.4,4.99,9.79,Yes,Unknown,df1,1
22,Female,13.31,1.5,1.58,4.34,2.66,No,Unknown,df1,0
51,Female,7.5,5.54,3.76,4.28,4.65,No,Unknown,df1,0
40,Female,6.95,0.17,3.43,8.23,3.5,No,Unknown,df1,0
28,Other,3.87,2.43,3.66,5.11,2.24,Yes,Unknown,df1,0
23,Female,7.96,1.01,0.03,6.33,4.05,Yes,Unknown,df1,1
51,Other,10.28,7.44,1.58,7.69,8.36,No,Unknown,df1,1
48,Male,11.19,6.8,1.02,6.68,2.79,Yes,Unknown,df1,1
44,Male,2.61,3.04,3.81,8.82,6.66,No,Unknown,df1,0
34,Female,8.08,6.27,0.5,4.8,2.28,Yes,Unknown,df1,1
51,Male,14.71,3.66,1.95,5.17,4.83,Yes,Unknown,df1,0
35,Female,13.41,4.65,2.22,8.76,4.89,No,Unknown,df1,1
46,Female,12.43,4.4,3.33,5.88,1.85,No,Unknown,df1,0
60,Other,3.5,0.55,0.69,4.09,3.41,Yes,Unknown,df1,1
59,Male,6.53,1.98,0.63,4.79,5.12,No,Unknown,df1,0
29,Female,6.69,1.5,0.11,7.66,2.96,Yes,Unknown,df1,1
45,Other,6.73,4.73,3.31,7.72,7.96,Yes,Unknown,df1,1
35,Other,6.88,6.16,4.6,8.33,8.28,No,Unknown,df1,1
63,Male,2.1,0.8,4.2,8.24,2.34,Yes,Unknown,df1,0
32,Other,2.3,3.31,3.66,6.98,5.32,No,Unknown,df1,1
29,Male,10.74,6.35,0.36,6.28,9.69,No,Unknown,df1,0
44,Male,9.14,2.99,3.06,5.42,7.4,Yes,Unknown,df1,0
19,Female,11.45,7.19,0.17,8.71,9.18,No,Unknown,df1,0
20,Male,10.68,1.87,0.74,6.99,6.03,Yes,Unknown,df1,1
50,Other,7.94,2.21,1.96,8.55,7.03,No,Unknown,df1,1
53,Female,11.8,0.12,0.95,7.17,1.57,Yes,Unknown,df1,0
53,Other,2.96,2.21,0.09,8.64,2.29,Yes,Unknown,df1,0
56,Other,1.39,2.39,1.61,5.94,8.39,No,Unknown,df1,0
19,Male,13.1,6.27,3.15,5.4,5.75,No,Unknown,df1,0
54,Female,14.28,0.5,2.05,4.56,0.05,No,Unknown,df1,0
45,Male,3.19,7.18,0.69,8.59,7.34,Yes,Unknown,df1,1
61,Female,8.79,4.07,2.19,5.51,5.16,No,Unknown,df1,1
59,Other,5.55,7.38,3.18,4.4,6.51,Yes,Unknown,df1,0
54,Male,9.28,3.84,2.17,7.25,9.93,No,Unknown,df1,1
29,Other,3.76,4.27,0.91,6.09,3.36,No,Unknown,df1,0
19,Other,9.98,1.93,1.83,5.93,7.64,No,Unknown,df1,0
34,Female,5.58,0.94,2.75,4.49,8.86,Yes,Unknown,df1,0
62,Other,14.55,2.69,3.7,6.15,4.1,No,Unknown,df1,0
20,Other,13.17,1.7,2.61,5.57,9.0,Yes,Unknown,df1,1
18,Female,8.63,0.07,2.91,4.26,3.6,No,Unknown,df1,0
42,Male,4.34,6.7,4.5,6.36,8.66,No,Unknown,df1,0
58,Female,5.93,0.77,2.72,8.99,4.56,No,Unknown,df1,1
47,Other,8.62,1.64,4.33,4.34,4.44,No,Unknown,df1,0
63,Male,1.05,1.44,1.76,5.86,8.4,Yes,Unknown,df1,0
48,Female,8.57,1.18,4.9,4.48,9.93,No,Unknown,df1,1
25,Male,13.65,7.0,3.58,6.31,9.26,Yes,Unknown,df1,0
50,Male,1.78,3.33,1.87,8.57,8.47,No,Unknown,df1,1
46,Male,9.45,0.32,3.72,5.09,3.01,No,Unknown,df1,0
45,Other,14.73,0.3,4.41,5.52,6.12,No,Unknown,df1,0
64,Female,13.11,5.33,4.5,5.16,4.86,No,Unknown,df1,1
26,Female,14.89,6.76,0.4,5.22,2.5,No,Unknown,df1,1
20,Other,3.32,3.41,0.96,8.66,6.07,No,Unknown,df1,0
56,Other,3.36,2.68,1.18,4.67,2.91,No,Unknown,df1,0
39,Other,10.08,1.28,0.8,4.1,9.58,No,Unknown,df1,1
35,Female,9.99,5.24,3.04,8.97,0.66,Yes,Unknown,df1,1
38,Male,13.41,4.36,2.09,4.7,5.6,Yes,Unknown,df1,0
58,Other,13.92,1.28,4.59,5.32,8.41,No,Unknown,df1,1
63,Male,6.26,5.97,2.83,8.61,8.03,No,Unknown,df1,1
52,Other,2.56,6.89,1.54,7.35,0.44,No,Unknown,df1,0
64,Female,11.34,2.64,4.97,6.93,9.98,No,Unknown,df1,0
55,Male,3.42,6.62,3.23,5.57,5.22,Yes,Unknown,df1,0
25,Male,13.15,6.98,3.8,4.03,1.29,Yes,Unknown,df1,0
39,Female,14.82,2.08,0.27,5.43,2.58,No,Unknown,df1,1
35,Male,4.84,1.32,4.48,4.06,6.62,No,Unknown,df1,1
52,Male,8.53,6.29,2.9,8.59,2.66,No,Unknown,df1,0
50,Other,6.33,6.3,1.54,8.55,9.22,No,Unknown,df1,0
63,Female,1.8,3.28,2.87,4.08,0.84,Yes,Unknown,df1,0
63,Other,3.0,0.03,1.57,8.6,1.24,Yes,Unknown,df1,1
35,Female,5.42,0.33,3.72,8.37,8.57,No,Unknown,df1,1
42,Other,3.04,2.56,4.05,6.13,9.94,Yes,Unknown,df1,0
53,Male,8.41,0.84,2.73,6.07,9.5,Yes,Unknown,df1,1
28,Female,14.39,1.04,3.31,6.77,3.74,No,Unknown,df1,1
56,Other,13.22,3.87,0.02,4.86,6.52,No,Unknown,df1,0
35,Male,6.7,2.26,3.26,6.54,3.64,No,Unknown,df1,0
39,Male,12.95,7.93,1.3,8.01,0.48,Yes,Unknown,df1,1
34,Female,12.18,0.2,0.56,4.09,0.96,Yes,Unknown,df1,1
56,Other,11.91,4.62,0.36,6.13,2.26,No,Unknown,df1,1
26,Male,12.54,7.76,1.28,5.91,2.92,Yes,Unknown,df1,0
29,Male,4.52,6.75,3.84,7.2,7.87,Yes,Unknown,df1,1
29,Female,10.08,2.0,1.35,8.78,5.72,No,Unknown,df1,0
46,Male,7.14,0.01,1.66,6.74,2.56,No,Unknown,df1,1
51,Female,10.72,5.65,4.83,5.34,8.59,No,Unknown,df1,0
55,Female,7.68,5.78,3.25,8.18,0.78,No,Unknown,df1,1
33,Male,5.19,1.11,4.54,5.01,3.64,Yes,Unknown,df1,0
18,Female,7.6,6.34,2.01,8.07,3.77,No,Unknown,df1,0
29,Male,12.0,2.12,4.32,7.68,5.02,Yes,Unknown,df1,1
30,Male,2.48,2.44,2.98,5.43,5.49,No,Unknown,df1,0
27,Male,7.86,4.18,1.14,8.39,3.0,No,Unknown,df1,1
26,Male,13.22,7.8,3.98,5.78,6.08,No,Unknown,df1,0
21,Male,13.93,4.77,3.04,8.19,7.89,Yes,Unknown,df1,0
38,Female,5.0,1.47,3.89,6.2,1.94,Yes,Unknown,df1,0
61,Male,5.52,6.17,2.24,4.43,6.23,No,Unknown,df1,1
49,Male,11.63,0.35,0.45,7.8,1.61,Yes,Unknown,df1,0
54,Other,1.17,6.48,1.25,4.55,2.91,No,Unknown,df1,0
26,Male,4.61,4.85,1.66,7.97,1.06,No,Unknown,df1,0
65,Other,1.4,7.92,1.62,5.2,7.24,No,Unknown,df1,1
35,Male,11.45,5.48,2.25,5.93,3.84,Yes,Unknown,df1,1
51,Male,3.88,5.12,1.19,8.14,0.1,No,Unknown,df1,0
59,Female,10.91,2.18,2.46,8.79,4.0,No,Unknown,df1,1
42,Female,13.11,2.22,1.0,5.84,8.09,Yes,Unknown,df1,0
50,Male,2.39,1.87,0.25,4.3,7.09,Yes,Unknown,df1,1
53,Female,1.84,0.96,0.17,7.71,6.41,No,Unknown,df1,0
37,Other,4.35,5.36,0.71,8.74,4.4,Yes,Unknown,df1,0
25,Female,13.65,6.36,2.46,8.97,5.81,Yes,Unknown,df1,0
49,Male,12.85,4.6,4.31,7.37,2.02,Yes,Unknown,df1,0
64,Female,4.27,6.28,3.42,7.02,3.27,No,Unknown,df1,1
46,Male,6.28,7.1,1.26,5.7,5.13,Yes,Unknown,df1,0
65,Other,1.45,4.95,2.14,6.16,5.38,Yes,Unknown,df1,1
65,Female,11.5,0.79,2.69,7.47,7.01,No,Unknown,df1,0
53,Female,14.05,0.34,1.57,4.58,7.31,No,Unknown,df1,0
18,Other,4.41,2.44,3.21,5.4,7.98,No,Unknown,df1,0
31,Male,14.63,4.04,3.29,6.89,3.94,No,Unknown,df1,1
56,Female,7.72,2.4,1.45,7.66,0.45,Yes,Unknown,df1,0
64,Female,14.9,7.3,2.66,7.97,7.55,No,Unknown,df1,1
52,Male,12.67,6.18,1.76,8.22,9.03,Yes,Unknown,df1,1
21,Male,11.48,0.73,0.66,7.33,8.69,No,Unknown,df1,0
64,Other,14.6,2.72,3.73,8.38,5.61,Yes,Unknown,df1,0
29,Male,6.54,5.93,1.03,4.31,3.86,No,Unknown,df1,0
36,Male,1.38,6.57,0.03,6.9,0.15,Yes,Unknown,df1,0
62,Other,1.74,6.76,2.79,6.18,9.36,Yes,Unknown,df1,1
60,Male,14.98,1.05,2.3,4.31,6.08,No,Unknown,df1,1
39,Male,6.33,3.24,1.66,7.03,8.93,No,Unknown,df1,1
27,Female,7.6,1.11,0.49,4.93,2.36,Yes,Unknown,df1,1
47,Female,1.97,3.18,3.73,7.98,8.35,Yes,Unknown,df1,0
40,Other,3.24,4.11,0.26,6.18,3.19,Yes,Unknown,df1,1
58,Female,1.97,2.12,4.44,7.92,9.2,Yes,Unknown,df1,0
30,Male,9.58,5.74,3.46,6.31,6.89,Yes,Unknown,df1,0
36,Other,4.29,1.55,2.66,4.38,9.46,Yes,Unknown,df1,1
39,Female,2.73,1.28,4.17,4.83,6.54,Yes,Unknown,df1,1
52,Male,2.04,4.53,4.48,5.92,3.41,Yes,Unknown,df1,1
42,Other,12.93,2.75,0.45,4.63,9.29,Yes,Unknown,df1,0
22,Male,7.56,1.88,3.47,8.89,5.73,Yes,Unknown,df1,0
52,Female,7.97,6.61,0.43,5.5,1.67,Yes,Unknown,df1,0
55,Other,5.24,3.86,4.91,5.0,6.72,Yes,Unknown,df1,1
38,Female,8.03,0.3,1.45,7.71,1.55,Yes,Unknown,df1,1
38,Female,10.59,3.08,1.08,8.63,9.35,Yes,Unknown,df1,0
49,Female,2.54,7.33,2.26,4.64,3.8,No,Unknown,df1,1
42,Male,4.86,7.54,3.26,5.7,8.64,No,Unknown,df1,1
25,Male,7.5,6.92,3.97,4.76,8.71,No,Unknown,df1,1
36,Other,5.4,1.39,2.09,7.17,9.62,Yes,Unknown,df1,0
45,Female,4.75,7.16,4.93,7.16,8.6,No,Unknown,df1,0
23,Other,12.37,4.04,3.42,8.42,5.27,No,Unknown,df1,0
60,Male,10.55,2.27,4.4,7.21,3.27,No,Unknown,df1,1
64,Other,10.13,4.1,4.82,4.5,3.56,Yes,Unknown,df1,1
44,Female,3.99,5.82,2.2,5.26,8.77,No,Unknown,df1,0
34,Male,1.64,3.56,1.83,6.19,8.55,Yes,Unknown,df1,0
33,Other,14.33,6.93,0.89,6.91,0.54,No,Unknown,df1,0
26,Male,9.08,3.44,0.14,4.05,2.05,Yes,Unknown,df1,1
49,Male,14.3,3.1,3.59,7.6,8.9,No,Unknown,df1,0
44,Female,9.94,3.52,3.0,7.04,2.86,No,Unknown,df1,1
37,Male,14.61,4.55,0.4,6.79,4.51,No,Unknown,df1,0
28,Male,5.29,3.68,2.2,4.22,2.47,No,Unknown,df1,1
41,Other,8.62,3.44,2.64,4.02,7.95,No,Unknown,df1,0
26,Male,1.46,3.2,3.3,5.18,3.23,No,Unknown,df1,1
59,Male,3.83,7.07,1.18,5.12,8.7,Yes,Unknown,df1,1
43,Other,10.49,5.92,2.52,5.89,0.2,No,Unknown,df1,1
40,Female,3.29,2.06,4.31,8.53,1.89,Yes,Unknown,df1,0
55,Male,2.84,6.88,4.11,7.81,2.2,No,Unknown,df1,0
56,Other,10.84,4.58,2.8,5.68,9.53,No,Unknown,df1,1
50,Male,10.61,2.44,3.05,5.74,8.31,No,Unknown,df1,1
46,Female,8.24,5.5,3.2,6.53,0.26,No,Unknown,df1,0
23,Male,9.46,1.18,0.76,6.64,2.54,Yes,Unknown,df1,1
47,Male,6.23,2.98,0.29,5.62,1.49,Yes,Unknown,df1,1
39,Other,4.81,2.34,2.34,8.19,6.46,Yes,Unknown,df1,1
48,Other,9.77,6.63,1.45,8.07,1.08,No,Unknown,df1,0
31,Male,5.96,1.9,4.46,4.82,2.56,No,Unknown,df1,1
55,Female,9.36,5.39,0.29,4.12,9.05,Yes,Unknown,df1,1
21,Other,3.01,3.98,4.37,6.09,8.11,Yes,Unknown,df1,0
19,Female,12.94,0.9,0.81,4.49,4.82,No,Unknown,df1,0
25,Other,5.24,5.54,2.2,5.43,3.71,No,Unknown,df1,1
63,Other,8.69,3.39,1.35,5.79,1.46,Yes,Unknown,df1,0
49,Male,6.36,4.11,0.36,4.17,3.95,Yes,Unknown,df1,0
27,Male,13.56,7.33,1.78,8.53,7.33,No,Unknown,df1,0
27,Male,1.59,0.39,3.54,7.59,2.74,Yes,Unknown,df1,1
20,Male,1.19,5.16,4.64,8.14,5.97,No,Unknown,df1,0
58,Other,2.69,5.57,4.65,5.2,1.78,No,Unknown,df1,0
61,Male,6.21,1.94,0.14,7.46,8.75,No,Unknown,df1,1
22,Female,7.26,1.84,2.73,7.01,0.61,Yes,Unknown,df1,0
22,Other,3.1,0.93,1.56,7.45,0.29,No,Unknown,df1,1
62,Other,5.14,3.58,0.72,7.1,9.3,Yes,Unknown,df1,0
64,Other,13.43,1.13,4.51,5.26,9.32,No,Unknown,df1,0
34,Female,11.44,4.77,1.27,5.68,9.69,No,Unknown,df1,0
33,Other,1.57,0.65,2.44,5.21,4.16,Yes,Unknown,df1,0
39,Male,10.28,2.82,4.71,6.7,2.52,No,Unknown,df1,0
23,Male,6.18,7.87,2.42,4.05,1.07,No,Unknown,df1,0
34,Male,8.34,6.26,1.61,8.12,8.44,Yes,Unknown,df1,0
33,Other,5.83,6.34,1.58,6.41,8.33,Yes,Unknown,df1,0
47,Other,2.47,7.89,2.66,4.78,9.47,No,Unknown,df1,0
38,Other,13.62,1.99,0.02,7.04,9.23,No,Unknown,df1,0
45,Male,7.5,5.23,2.16,6.78,0.47,No,Unknown,df1,0
45,Other,12.73,6.21,2.84,6.1,2.84,No,Unknown,df1,1
30,Male,7.22,7.06,4.96,5.48,1.3,No,Unknown,df1,0
51,Male,3.8,1.64,0.55,6.52,3.91,Yes,Unknown,df1,0
62,Male,3.01,1.04,2.56,5.49,8.67,No,Unknown,df1,0
56,Female,3.26,6.11,3.71,5.76,3.95,Yes,Unknown,df1,1
37,Male,1.3,3.76,2.63,6.65,5.13,No,Unknown,df1,1
27,Male,9.27,2.8,3.13,5.05,3.87,No,Unknown,df1,0
56,Male,10.74,4.41,0.16,4.88,1.02,Yes,Unknown,df1,0
48,Other,5.29,7.37,3.0,7.51,1.38,Yes,Unknown,df1,0
65,Female,12.11,2.33,4.02,7.07,4.95,Yes,Unknown,df1,0
57,Female,13.78,2.96,3.69,6.42,3.29,No,Unknown,df1,0
53,Other,4.5,5.3,1.35,8.13,7.19,No,Unknown,df1,1
24,Other,3.39,5.31,0.34,5.49,1.37,No,Unknown,df1,1
25,Other,4.77,1.47,0.89,6.1,3.08,No,Unknown,df1,0
64,Other,2.42,6.52,2.14,5.11,3.42,No,Unknown,df1,0
42,Male,6.67,1.11,3.3,4.75,0.46,No,Unknown,df1,1
43,Other,12.92,1.9,3.47,5.7,9.31,No,Unknown,df1,1
32,Other,4.71,2.44,3.09,5.91,0.85,Yes,Unknown,df1,0
18,Other,13.67,3.7,2.18,5.97,8.52,No,Unknown,df1,1
28,Male,12.6,3.29,4.42,4.97,0.28,Yes,Unknown,df1,1
25,Female,6.75,0.62,2.34,4.32,8.43,Yes,Unknown,df1,0
30,Female,4.24,5.32,0.11,7.56,8.58,Yes,Unknown,df1,1
27,Male,14.85,6.15,4.92,5.22,9.7,No,Unknown,df1,0
65,Other,2.4,0.21,3.89,8.67,0.7,Yes,Unknown,df1,1
38,Male,2.25,3.71,3.05,8.36,2.52,Yes,Unknown,df1,0
30,Other,1.89,3.44,4.64,7.71,7.34,Yes,Unknown,df1,0
55,Other,14.86,7.41,2.28,8.17,6.87,Yes,Unknown,df1,0
31,Male,14.32,2.36,4.6,7.35,4.86,No,Unknown,df1,1
62,Other,3.94,0.25,2.68,5.73,8.16,Yes,Unknown,df1,1
40,Other,8.06,6.47,1.61,7.54,0.74,Yes,Unknown,df1,1
34,Male,2.95,1.73,1.25,8.64,2.2,No,Unknown,df1,1
55,Other,6.05,4.93,3.46,4.99,1.86,Yes,Unknown,df1,1
46,Male,5.16,7.78,3.26,4.76,7.54,Yes,Unknown,df1,0
25,Female,4.06,7.1,2.08,6.15,0.48,No,Unknown,df1,1
20,Female,11.5,7.35,1.06,8.35,3.27,No,Unknown,df1,0
45,Male,6.62,7.48,0.74,4.38,6.77,No,Unknown,df1,1
62,Male,2.86,0.97,4.64,5.44,0.35,Yes,Unknown,df1,0
48,Other,5.0,4.94,2.44,8.52,7.88,Yes,Unknown,df1,0
28,Male,11.85,7.58,0.8,7.95,9.55,Yes,Unknown,df1,1
56,Male,5.51,4.55,3.02,6.82,2.44,No,Unknown,df1,0
62,Female,3.78,0.13,2.04,5.68,2.68,No,Unknown,df1,0
63,Male,11.52,5.49,0.96,4.32,2.81,No,Unknown,df1,1
40,Male,1.85,4.95,3.12,5.88,0.59,No,Unknown,df1,1
60,Female,13.12,5.99,1.2,7.48,9.08,No,Unknown,df1,1
65,Female,10.38,4.62,0.18,8.86,3.73,Yes,Unknown,df1,0
46,Male,3.46,1.3,1.65,4.74,6.81,Yes,Unknown,df1,0
58,Other,12.85,3.82,4.62,8.51,4.4,Yes,Unknown,df1,0
61,Male,5.03,1.7,2.94,7.88,7.94,No,Unknown,df1,0
32,Other,4.03,0.47,1.92,5.97,6.64,No,Unknown,df1,1
51,Female,2.33,3.55,2.96,4.58,0.9,Yes,Unknown,df1,0
58,Female,7.78,1.91,0.74,7.66,8.34,Yes,Unknown,df1,1
25,Female,13.67,2.67,0.47,7.42,6.0,No,Unknown,df1,0
43,Other,8.49,6.18,0.03,8.56,3.07,No,Unknown,df1,1
27,Male,11.27,1.57,4.04,8.68,4.13,No,Unknown,df1,0
23,Other,3.73,0.49,3.99,7.0,3.15,No,Unknown,df1,0
50,Male,9.41,7.2,3.19,4.58,7.34,Yes,Unknown,df1,1
55,Other,4.54,4.26,1.42,5.31,9.95,No,Unknown,df1,1
39,Female,1.49,5.76,1.81,6.31,9.52,Yes,Unknown,df1,0
29,Male,13.34,1.21,0.46,6.8,8.95,No,Unknown,df1,1
35,Male,8.48,0.64,3.03,4.37,3.23,Yes,Unknown,df1,1
20,Male,2.39,2.54,1.19,8.0,8.59,Yes,Unknown,df1,1
41,Other,7.52,7.92,3.88,4.33,6.39,Yes,Unknown,df1,0
51,Other,4.93,3.91,2.82,7.94,6.86,No,Unknown,df1,1
21,Other,10.86,5.02,4.62,4.4,4.46,No,Unknown,df1,0
39,Male,7.49,7.53,4.96,4.07,9.83,Yes,Unknown,df1,1
20,Other,6.03,4.16,1.06,5.61,5.89,No,Unknown,df1,1
25,Other,11.84,3.13,1.65,5.32,1.16,Yes,Unknown,df1,0
56,Male,2.65,1.15,4.4,8.89,9.09,Yes,Unknown,df1,1
54,Female,2.47,2.03,4.16,7.57,6.15,Yes,Unknown,df1,1
35,Other,8.22,3.95,4.17,8.08,3.08,No,Unknown,df1,0
55,Female,13.36,1.15,0.88,6.82,4.75,No,Unknown,df1,1
60,Female,12.71,7.74,3.52,6.85,6.61,Yes,Unknown,df1,1
32,Female,2.63,5.8,0.56,6.55,2.93,Yes,Unknown,df1,1
28,Other,11.91,5.13,1.42,5.02,0.67,Yes,Unknown,df1,1
65,Male,3.28,0.26,0.39,8.62,2.83,No,Unknown,df1,0
20,Male,9.03,4.99,2.23,7.87,5.34,Yes,Unknown,df1,1
24,Other,10.11,6.83,3.32,7.37,7.03,Yes,Unknown,df1,0
27,Male,7.47,0.04,0.39,4.61,0.09,Yes,Unknown,df1,0
21,Other,6.69,7.41,2.56,4.2,2.56,Yes,Unknown,df1,1
41,Other,13.34,5.67,4.46,6.65,2.67,No,Unknown,df1,1
37,Male,11.77,4.36,3.3,7.31,0.58,Yes,Unknown,df1,0
23,Other,14.2,2.12,0.89,7.68,2.73,Yes,Unknown,df1,0
25,Other,6.41,0.21,4.83,4.74,4.35,Yes,Unknown,df1,0
59,Other,8.26,5.77,3.89,8.45,6.85,Yes,Unknown,df1,0
45,Other,4.83,0.11,3.66,8.92,1.51,Yes,Unknown,df1,1
48,Female,12.82,1.98,4.54,5.36,1.36,Yes,Unknown,df1,1
32,Female,13.13,0.01,2.84,6.09,0.55,No,Unknown,df1,0
